report_id,report_text,specialty
35,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
36,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
37,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
38,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
39,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
40,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
41,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
42,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
43,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
44,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
45,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
46,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
47,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
48,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
49,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
50,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
51,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
52,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
53,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
54,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
55,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
56,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
57,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
58,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
59,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
60,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
61,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
62,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
63,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
64,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
65,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
66,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
67,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
68,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
69,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
70,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
71,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
72,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
73,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
74,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
75,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
76,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
77,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
78,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
79,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
80,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
81,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
82,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
83,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
84,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
85,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
86,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
87,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
88,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
89,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
90,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
91,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
92,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
93,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
94,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
95,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
96,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
97,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
98,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
99,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
100,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
101,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
102,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
103,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
104,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
105,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
106,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
107,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
108,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
109,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
110,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
111,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
112,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
113,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
114,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
115,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
116,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
117,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
118,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
119,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
120,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
121,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
122,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
123,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
124,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
125,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
126,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
127,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
128,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
129,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
130,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
131,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
132,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
133,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
134,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
135,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
136,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
137,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
138,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
139,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
140,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
141,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
142,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
143,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
144,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
145,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
146,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
147,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
148,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
149,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
150,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
151,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
152,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
153,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
154,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
155,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
156,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
157,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
158,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
159,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
160,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
161,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
162,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
163,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
164,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
165,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
166,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
167,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
168,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
169,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
170,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
171,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
172,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
173,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
174,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
175,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
176,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
177,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
178,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
179,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
180,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
181,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
182,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
183,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
184,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
185,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
186,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
187,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
188,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
189,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
190,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
191,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
192,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
193,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
194,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
195,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
196,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
197,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
198,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
199,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
200,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
201,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
202,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
203,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
204,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
205,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
206,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
207,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
208,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
209,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
210,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
211,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
212,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
213,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
214,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
215,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
216,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
217,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
218,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
219,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
220,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
221,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
222,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
223,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
224,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
225,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
226,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
227,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
228,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
229,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
230,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
231,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
232,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
233,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
234,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
235,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
236,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
237,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
238,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
239,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
240,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
241,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
242,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
243,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
244,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
245,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
246,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
247,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
248,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
249,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
250,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
251,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
252,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
253,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
254,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
255,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
256,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
257,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
258,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
259,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
260,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
261,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
262,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
263,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
264,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
265,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
266,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
267,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
268,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
269,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
270,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
271,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
272,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
273,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
274,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
275,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
276,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
277,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
278,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
279,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
280,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
281,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
282,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
283,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
284,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
285,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
286,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
287,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
288,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
289,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
290,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
291,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
292,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
293,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
294,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
295,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
296,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
297,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
298,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
299,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
300,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
301,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
302,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
303,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
304,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
305,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
306,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
307,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
308,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
309,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
310,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
311,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
312,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
313,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
314,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
315,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
316,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
317,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
318,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
319,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
320,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
321,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
322,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
323,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
324,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
325,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
326,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
327,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
328,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
329,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
330,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
331,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
332,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
333,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
334,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
335,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
336,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
337,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
338,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
339,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
340,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
341,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
342,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
343,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
344,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
345,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
346,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
347,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
348,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
349,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
350,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
351,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
352,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
353,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
354,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
355,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
356,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
357,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
358,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
359,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
360,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
361,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
362,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
363,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
364,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
365,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
366,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
367,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
368,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
369,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
370,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
371,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
372,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
373,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
374,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
375,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
376,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
377,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
378,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
379,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
380,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
381,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
382,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
383,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
384,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
385,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
386,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
387,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
388,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
389,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
390,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
391,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
392,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
393,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
394,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
395,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
396,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
397,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
398,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
399,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
400,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
401,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
402,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
403,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
404,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
405,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
406,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
407,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
408,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
409,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
410,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
411,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
412,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
413,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
414,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
415,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
416,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
417,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
418,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
419,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
420,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
421,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
422,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
423,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
424,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
425,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
426,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
427,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
